task,seed,candidate_id,family,lambda,selected_groups,selected_features,cost,n_groups,n_features,train_objective,stationarity,converged,iterations,warmup_iterations,val_bce,val_auroc,val_ap,method,alpha,validation_objective,test_bce,test_auroc,test_ap
linear_control,51966,mlp_uniform_4,mlp_uniform,0.03,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.5084329899898969,0.006923740623179923,False,1500,1500,0.445871942096712,0.8721327985275478,0.8592375976574503,mlp_uniform,0.0,0.445871942096712,0.4336229972149401,0.8799492914698527,0.8839637717439207
linear_control,51966,mlp_uniform_5,mlp_uniform,0.1,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,0.5433216440808082,0.00372891766967388,False,1500,1500,0.45243670793357454,0.8742511850810022,0.8602483589432716,mlp_uniform,0.0005,0.46743670793357456,0.4409417950520264,0.881286468463462,0.8850686734435586
linear_control,51966,mlp_uniform_5,mlp_uniform,0.1,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,0.5433216440808082,0.00372891766967388,False,1500,1500,0.45243670793357454,0.8742511850810022,0.8602483589432716,mlp_uniform,0.001,0.4824367079335745,0.4409417950520264,0.881286468463462,0.8850686734435586
linear_control,51966,mlp_uniform_5,mlp_uniform,0.1,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,0.5433216440808082,0.00372891766967388,False,1500,1500,0.45243670793357454,0.8742511850810022,0.8602483589432716,mlp_uniform,0.003,0.5424367079335746,0.4409417950520264,0.881286468463462,0.8850686734435586
linear_control,51966,mlp_free,mlp_free,0,[],"[0, 1]",0.0,0,2,0.690905552855632,9.993707723689033e-05,True,1106,0,0.6938008796588183,0.4987932142174993,0.5014141111582663,mlp_uniform,0.01,0.6938008796588183,0.6957182307188335,0.49491178105029177,0.4806068548265332
linear_control,51966,mlp_cost_weighted_5,mlp_cost_weighted,0.1,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,0.49527107342861454,0.0022409871686044024,False,1500,1500,0.44868234735774687,0.8717334305707489,0.8557052526923725,mlp_cost_weighted,0.0,0.44868234735774687,0.43236616596456595,0.8825020839121978,0.8859033895235008
linear_control,51966,mlp_cost_weighted_5,mlp_cost_weighted,0.1,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,0.49527107342861454,0.0022409871686044024,False,1500,1500,0.44868234735774687,0.8717334305707489,0.8557052526923725,mlp_cost_weighted,0.0005,0.4636823473577469,0.43236616596456595,0.8825020839121978,0.8859033895235008
linear_control,51966,mlp_cost_weighted_5,mlp_cost_weighted,0.1,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,0.49527107342861454,0.0022409871686044024,False,1500,1500,0.44868234735774687,0.8717334305707489,0.8557052526923725,mlp_cost_weighted,0.001,0.47868234735774684,0.43236616596456595,0.8825020839121978,0.8859033895235008
linear_control,51966,mlp_cost_weighted_5,mlp_cost_weighted,0.1,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,0.49527107342861454,0.0022409871686044024,False,1500,1500,0.44868234735774687,0.8717334305707489,0.8557052526923725,mlp_cost_weighted,0.003,0.5386823473577469,0.43236616596456595,0.8825020839121978,0.8859033895235008
linear_control,51966,mlp_free,mlp_free,0,[],"[0, 1]",0.0,0,2,0.690905552855632,9.993707723689033e-05,True,1106,0,0.6938008796588183,0.4987932142174993,0.5014141111582663,mlp_cost_weighted,0.01,0.6938008796588183,0.6957182307188335,0.49491178105029177,0.4806068548265332
linear_control,51966,logistic_cost_weighted_2,logistic_cost_weighted,0.003,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",215.0,5,17,,,,,0,0.4427986364531209,0.8741990936083763,0.8578099820039214,logistic_cost_weighted,0.0,0.4427986364531209,0.4262774256986167,0.8847075576549042,0.8891983931173497
linear_control,51966,logistic_cost_weighted_4,logistic_cost_weighted,0.03,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,,,,,0,0.4487924532798109,0.8756923824903197,0.8587152169652277,logistic_cost_weighted,0.0005,0.4637924532798109,0.43142100509860887,0.8862357599333148,0.8902326310931483
linear_control,51966,logistic_cost_weighted_4,logistic_cost_weighted,0.03,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,,,,,0,0.4487924532798109,0.8756923824903197,0.8587152169652277,logistic_cost_weighted,0.001,0.4787924532798109,0.43142100509860887,0.8862357599333148,0.8902326310931483
linear_control,51966,logistic_cost_weighted_4,logistic_cost_weighted,0.03,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,,,,,0,0.4487924532798109,0.8756923824903197,0.8587152169652277,logistic_cost_weighted,0.003,0.5387924532798108,0.43142100509860887,0.8862357599333148,0.8902326310931483
linear_control,51966,logistic_free,logistic_free,0,[],"[0, 1]",0.0,0,2,,,,,0,0.6937485414883479,0.4971436509176781,0.502719313013174,logistic_cost_weighted,0.01,0.6937485414883479,0.6936401444647696,0.5146568491247568,0.4951253803776057
linear_control,51966,mlp_all,mlp_all,0,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.17826020599591208,0.0020776020504180465,False,1500,0,0.9416109718513129,0.807209459811429,0.7926065688414866,mlp_all,,,1.0744417920328255,0.7829084467907752,0.7946216730358495
linear_control,51966,mlp_free,mlp_free,0,[],"[0, 1]",0.0,0,2,0.690905552855632,9.993707723689033e-05,True,1106,0,0.6938008796588183,0.4987932142174993,0.5014141111582663,mlp_free,,,0.6957182307188335,0.49491178105029177,0.4806068548265332
linear_control,51966,logistic_all,logistic_all,0,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,,,,,0,0.4469452384383648,0.8705179628761439,0.8563398532797641,logistic_all,,,0.42740957526714213,0.8835093081411504,0.8885317638279226
linear_control,51966,logistic_free,logistic_free,0,[],"[0, 1]",0.0,0,2,,,,,0,0.6937485414883479,0.4971436509176781,0.502719313013174,logistic_free,,,0.6936401444647696,0.5146568491247568,0.4951253803776057
nonlinear_interaction,51966,mlp_uniform_4,mlp_uniform,0.03,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.6048834661931317,0.006512499822198708,False,1500,1500,0.46572636100149073,0.8508206686930091,0.863242320353335,mlp_uniform,0.0,0.46572636100149073,0.4436650553606157,0.8811463308727747,0.8848661001593766
nonlinear_interaction,51966,mlp_uniform_5,mlp_uniform,0.1,"[0, 1, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 11, 12, 13]",90.0,3,11,0.7717893700241206,0.006315322290258342,False,1500,1500,0.5791354530038755,0.7958488927485887,0.8045616656128352,mlp_uniform,0.0005,0.6241354530038755,0.5698458141868751,0.8353104646113765,0.8403048954091487
nonlinear_interaction,51966,mlp_uniform_5,mlp_uniform,0.1,"[0, 1, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 11, 12, 13]",90.0,3,11,0.7717893700241206,0.006315322290258342,False,1500,1500,0.5791354530038755,0.7958488927485887,0.8045616656128352,mlp_uniform,0.001,0.6691354530038754,0.5698458141868751,0.8353104646113765,0.8403048954091487
nonlinear_interaction,51966,mlp_free,mlp_free,0,[],"[0, 1]",0.0,0,2,0.6897485761908035,0.0001610287338404071,False,1500,0,0.7015696320281517,0.4812679114198871,0.4953529056296503,mlp_uniform,0.003,0.7015696320281517,0.6956197592803386,0.4976118106817195,0.5173369596661886
nonlinear_interaction,51966,mlp_free,mlp_free,0,[],"[0, 1]",0.0,0,2,0.6897485761908035,0.0001610287338404071,False,1500,0,0.7015696320281517,0.4812679114198871,0.4953529056296503,mlp_uniform,0.01,0.7015696320281517,0.6956197592803386,0.4976118106817195,0.5173369596661886
nonlinear_interaction,51966,mlp_cost_weighted_5,mlp_cost_weighted,0.1,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,0.5977000773022956,0.0047888612845442,False,1500,1500,0.4694195973350866,0.84811115935736,0.8623874272181244,mlp_cost_weighted,0.0,0.4694195973350866,0.44195726585937095,0.8863048198002605,0.8896658732304812
nonlinear_interaction,51966,mlp_cost_weighted_5,mlp_cost_weighted,0.1,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,0.5977000773022956,0.0047888612845442,False,1500,1500,0.4694195973350866,0.84811115935736,0.8623874272181244,mlp_cost_weighted,0.0005,0.4844195973350866,0.44195726585937095,0.8863048198002605,0.8896658732304812
nonlinear_interaction,51966,mlp_cost_weighted_5,mlp_cost_weighted,0.1,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,0.5977000773022956,0.0047888612845442,False,1500,1500,0.4694195973350866,0.84811115935736,0.8623874272181244,mlp_cost_weighted,0.001,0.49941959733508656,0.44195726585937095,0.8863048198002605,0.8896658732304812
nonlinear_interaction,51966,mlp_cost_weighted_5,mlp_cost_weighted,0.1,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,0.5977000773022956,0.0047888612845442,False,1500,1500,0.4694195973350866,0.84811115935736,0.8623874272181244,mlp_cost_weighted,0.003,0.5594195973350866,0.44195726585937095,0.8863048198002605,0.8896658732304812
nonlinear_interaction,51966,mlp_free,mlp_free,0,[],"[0, 1]",0.0,0,2,0.6897485761908035,0.0001610287338404071,False,1500,0,0.7015696320281517,0.4812679114198871,0.4953529056296503,mlp_cost_weighted,0.01,0.7015696320281517,0.6956197592803386,0.4976118106817195,0.5173369596661886
nonlinear_interaction,51966,logistic_free,logistic_free,0,[],"[0, 1]",0.0,0,2,,,,,0,0.6962183735034663,0.4604429005644811,0.49009688337747614,logistic_cost_weighted,0.0,0.6962183735034663,0.6938090803945334,0.4977854971775944,0.5199637485498785
nonlinear_interaction,51966,logistic_free,logistic_free,0,[],"[0, 1]",0.0,0,2,,,,,0,0.6962183735034663,0.4604429005644811,0.49009688337747614,logistic_cost_weighted,0.0005,0.6962183735034663,0.6938090803945334,0.4977854971775944,0.5199637485498785
nonlinear_interaction,51966,logistic_free,logistic_free,0,[],"[0, 1]",0.0,0,2,,,,,0,0.6962183735034663,0.4604429005644811,0.49009688337747614,logistic_cost_weighted,0.001,0.6962183735034663,0.6938090803945334,0.4977854971775944,0.5199637485498785
nonlinear_interaction,51966,logistic_free,logistic_free,0,[],"[0, 1]",0.0,0,2,,,,,0,0.6962183735034663,0.4604429005644811,0.49009688337747614,logistic_cost_weighted,0.003,0.6962183735034663,0.6938090803945334,0.4977854971775944,0.5199637485498785
nonlinear_interaction,51966,logistic_free,logistic_free,0,[],"[0, 1]",0.0,0,2,,,,,0,0.6962183735034663,0.4604429005644811,0.49009688337747614,logistic_cost_weighted,0.01,0.6962183735034663,0.6938090803945334,0.4977854971775944,0.5199637485498785
nonlinear_interaction,51966,mlp_all,mlp_all,0,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.20660449777018242,0.0022266209079268616,False,1500,0,1.1024998429305983,0.7126356925749022,0.7190482758724148,mlp_all,,,0.880848191957237,0.7790534085974815,0.7752623558295035
nonlinear_interaction,51966,mlp_free,mlp_free,0,[],"[0, 1]",0.0,0,2,0.6897485761908035,0.0001610287338404071,False,1500,0,0.7015696320281517,0.4812679114198871,0.4953529056296503,mlp_free,,,0.6956197592803386,0.4976118106817195,0.5173369596661886
nonlinear_interaction,51966,logistic_all,logistic_all,0,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,,,,,0,0.7013817930378494,0.4967260095527573,0.536580593002767,logistic_all,,,0.6994331523348197,0.5158836300477637,0.5136774872982525
nonlinear_interaction,51966,logistic_free,logistic_free,0,[],"[0, 1]",0.0,0,2,,,,,0,0.6962183735034663,0.4604429005644811,0.49009688337747614,logistic_free,,,0.6938090803945334,0.4977854971775944,0.5199637485498785
linear_control,51967,mlp_uniform_4,mlp_uniform,0.03,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.4955548942439421,0.006387460257170601,False,1500,1500,0.46134805642741944,0.8650600736162234,0.862414491988561,mlp_uniform,0.0,0.46134805642741944,0.4874624995524035,0.8507960207642493,0.8537767426016276
linear_control,51967,mlp_uniform_5,mlp_uniform,0.1,"[0, 1, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 11, 12, 13]",90.0,3,11,0.535577547062082,0.0040004915731493285,False,1500,1500,0.4615608705737991,0.8663101604278075,0.8666435949988263,mlp_uniform,0.0005,0.5065608705737991,0.4763325304075425,0.856525286897342,0.862161018976345
linear_control,51967,mlp_uniform_5,mlp_uniform,0.1,"[0, 1, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 11, 12, 13]",90.0,3,11,0.535577547062082,0.0040004915731493285,False,1500,1500,0.4615608705737991,0.8663101604278075,0.8666435949988263,mlp_uniform,0.001,0.5515608705737991,0.4763325304075425,0.856525286897342,0.862161018976345
linear_control,51967,mlp_free,mlp_free,0,[],"[0, 1]",0.0,0,2,0.6877766115883853,9.956030812813823e-05,True,1278,0,0.6966944273940688,0.515573998194319,0.519825561953148,mlp_uniform,0.003,0.6966944273940688,0.6935919583367529,0.5094012048820292,0.541966302724989
