task,seed,mask_id,selected_groups,selected_features,n_groups,n_features,cost,in_path_with_boundaries,refit_gradient_inf,val_bce,val_auroc,val_ap
synthetic_cheap_signal,51966,0,[],"[0, 1]",0,2,0.0,True,1.4951453170192402e-09,0.6795856247673377,0.5708291911609302,0.5178061482461095
synthetic_cheap_signal,51966,1,[0],"[0, 1, 2, 3, 4]",1,5,10.0,True,3.171767382035575e-09,0.527080143140536,0.8079780197415286,0.7715801574864538
synthetic_cheap_signal,51966,2,[1],"[0, 1, 5, 6, 7]",1,5,20.0,False,2.0865971761709198e-10,0.6225693751288474,0.7008477428748111,0.6410830227426205
synthetic_cheap_signal,51966,3,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",2,8,30.0,True,9.305069895349958e-10,0.43787869640687227,0.8758913824549318,0.8395868856945394
synthetic_cheap_signal,51966,4,[2],"[0, 1, 8, 9, 10]",1,5,35.0,False,3.5785987581257546e-09,0.6820573368073632,0.5626961824173587,0.50742782009578
synthetic_cheap_signal,51966,5,"[0, 2]","[0, 1, 2, 3, 4, 8, 9, 10]",2,8,45.0,False,6.221400607685744e-10,0.5291639331552357,0.8056844956203866,0.7685640416829627
synthetic_cheap_signal,51966,6,"[1, 2]","[0, 1, 5, 6, 7, 8, 9, 10]",2,8,55.0,False,4.757568605388599e-10,0.6234832885900207,0.6990317101235998,0.6367809009493195
synthetic_cheap_signal,51966,7,"[0, 1, 2]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",3,11,65.0,False,1.840111780952673e-09,0.43846221215584325,0.875179059263724,0.838710024548321
synthetic_cheap_signal,51966,8,[3],"[0, 1, 11, 12, 13]",1,5,60.0,False,6.046464561269881e-10,0.6779970642849947,0.5741872862051961,0.5256350808941364
synthetic_cheap_signal,51966,9,"[0, 3]","[0, 1, 2, 3, 4, 11, 12, 13]",2,8,70.0,False,8.608557134552695e-10,0.5247023873329212,0.8092852502133056,0.7758409514114264
synthetic_cheap_signal,51966,10,"[1, 3]","[0, 1, 5, 6, 7, 11, 12, 13]",2,8,80.0,False,1.5045520376865095e-09,0.6210053246116753,0.7033134769982231,0.641891094584857
synthetic_cheap_signal,51966,11,"[0, 1, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 11, 12, 13]",3,11,90.0,False,6.427823032140959e-09,0.4356634854114695,0.8768463651947931,0.8416426263902532
synthetic_cheap_signal,51966,12,"[2, 3]","[0, 1, 8, 9, 10, 11, 12, 13]",2,8,95.0,False,9.684704807489514e-09,0.6803316561762657,0.5659368615509859,0.5128665824129208
synthetic_cheap_signal,51966,13,"[0, 2, 3]","[0, 1, 2, 3, 4, 8, 9, 10, 11, 12, 13]",3,11,105.0,False,7.267804399454555e-10,0.5265141433485723,0.8070386924564192,0.772973099821116
synthetic_cheap_signal,51966,14,"[1, 2, 3]","[0, 1, 5, 6, 7, 8, 9, 10, 11, 12, 13]",3,11,115.0,False,6.028624937325654e-09,0.6218785593922702,0.7019279692526867,0.6384971429776634
synthetic_cheap_signal,51966,15,"[0, 1, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",4,14,125.0,False,9.318535760812894e-10,0.4361167629125466,0.876494117462877,0.8414467320322747
synthetic_cheap_signal,51966,16,[4],"[0, 1, 14, 15, 16]",1,5,90.0,False,9.414151237001141e-10,0.6812326976708329,0.566281281555526,0.5182985773098265
synthetic_cheap_signal,51966,17,"[0, 4]","[0, 1, 2, 3, 4, 14, 15, 16]",2,8,100.0,False,9.16380909502456e-10,0.5281278293036147,0.807210902458689,0.7693380276729748
