task,method,alpha,repeats,cost_mean,cost_sd,n_groups_mean,n_groups_sd,n_features_mean,n_features_sd,test_bce_mean,test_bce_sd,test_auroc_mean,test_auroc_sd,test_ap_mean,test_ap_sd
synthetic_cheap_signal,all_checks,,3,355.0,0.0,6.0,0.0,20.0,0.0,0.41818719820224065,0.013712185764298343,0.8877794878030345,0.007211027244115641,0.8589157872087826,0.011096372690324121
synthetic_cheap_signal,enumerated_refit,0.0,3,70.0,34.64101615137755,2.6666666666666665,0.5773502691896258,10.0,1.7320508075688772,0.41657684078226054,0.012866901778187424,0.8886518371023101,0.007258718903532317,0.8604039639069749,0.010162258583424311
synthetic_cheap_signal,enumerated_refit,0.00025,3,30.0,0.0,2.0,0.0,8.0,0.0,0.4160698690831133,0.01159637544441084,0.8890663611253066,0.006098679955769205,0.8606906915546366,0.009092074299318808
synthetic_cheap_signal,enumerated_refit,0.0005,3,30.0,0.0,2.0,0.0,8.0,0.0,0.4160698690831133,0.01159637544441084,0.8890663611253066,0.006098679955769205,0.8606906915546366,0.009092074299318808
synthetic_cheap_signal,enumerated_refit,0.001,3,30.0,0.0,2.0,0.0,8.0,0.0,0.4160698690831133,0.01159637544441084,0.8890663611253066,0.006098679955769205,0.8606906915546366,0.009092074299318808
synthetic_cheap_signal,enumerated_refit,0.002,3,30.0,0.0,2.0,0.0,8.0,0.0,0.4160698690831133,0.01159637544441084,0.8890663611253066,0.006098679955769205,0.8606906915546366,0.009092074299318808
synthetic_cheap_signal,enumerated_refit,0.005,3,16.666666666666668,11.547005383792515,1.3333333333333333,0.5773502691896257,6.0,1.7320508075688772,0.48668143585192974,0.0503632492935827,0.8396589346034095,0.0370250490338152,0.8010489203845758,0.04469489849765208
synthetic_cheap_signal,enumerated_refit,0.01,3,10.0,0.0,1.0,0.0,5.0,0.0,0.5060041650186861,0.018273519461889716,0.8274836668332051,0.016373746097518373,0.7855877234925552,0.020037194837149195
synthetic_cheap_signal,enumerated_refit,0.02,3,0.0,0.0,0.0,0.0,2.0,0.0,0.6744024285325367,0.011543361846092382,0.5823674400256478,0.033941119504004046,0.5169410256428864,0.029559204984935167
synthetic_cheap_signal,free_only,,3,0.0,0.0,0.0,0.0,2.0,0.0,0.6744024285325367,0.011543361846092382,0.5823674400256478,0.033941119504004046,0.5169410256428864,0.029559204984935167
synthetic_cheap_signal,group_lasso_path_refit,0.0,3,50.0,34.64101615137755,2.3333333333333335,0.5773502691896258,9.0,1.7320508075688772,0.41672129619511233,0.012717222377704016,0.8884847317841835,0.007105955937822586,0.8601991504038309,0.009889178706728584
synthetic_cheap_signal,group_lasso_path_refit,0.00025,3,30.0,0.0,2.0,0.0,8.0,0.0,0.4160698690831133,0.01159637544441084,0.8890663611253066,0.006098679955769205,0.8606906915546366,0.009092074299318808
synthetic_cheap_signal,group_lasso_path_refit,0.0005,3,30.0,0.0,2.0,0.0,8.0,0.0,0.4160698690831133,0.01159637544441084,0.8890663611253066,0.006098679955769205,0.8606906915546366,0.009092074299318808
synthetic_cheap_signal,group_lasso_path_refit,0.001,3,30.0,0.0,2.0,0.0,8.0,0.0,0.4160698690831133,0.01159637544441084,0.8890663611253066,0.006098679955769205,0.8606906915546366,0.009092074299318808
synthetic_cheap_signal,group_lasso_path_refit,0.002,3,30.0,0.0,2.0,0.0,8.0,0.0,0.4160698690831133,0.01159637544441084,0.8890663611253066,0.006098679955769205,0.8606906915546366,0.009092074299318808
synthetic_cheap_signal,group_lasso_path_refit,0.005,3,16.666666666666668,11.547005383792515,1.3333333333333333,0.5773502691896257,6.0,1.7320508075688772,0.48668143585192974,0.0503632492935827,0.8396589346034095,0.0370250490338152,0.8010489203845758,0.04469489849765208
synthetic_cheap_signal,group_lasso_path_refit,0.01,3,10.0,0.0,1.0,0.0,5.0,0.0,0.5060041650186861,0.018273519461889716,0.8274836668332051,0.016373746097518373,0.7855877234925552,0.020037194837149195
synthetic_cheap_signal,group_lasso_path_refit,0.02,3,0.0,0.0,0.0,0.0,2.0,0.0,0.6744024285325367,0.011543361846092382,0.5823674400256478,0.033941119504004046,0.5169410256428864,0.029559204984935167
