task,seed,mask_id,selected_groups,selected_features,n_groups,n_features,cost,in_path_with_boundaries,refit_gradient_inf,val_bce,val_auroc,val_ap,method,alpha,validation_objective,truth_groups,test_bce,test_auroc,test_ap
synthetic_cheap_signal,51966,3,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",2,8,30.0,True,9.305069895349958e-10,0.43787869640687227,0.8758913824549318,0.8395868856945394,group_lasso_path_refit,0.0,0.43787869640687227,"[0, 1]",0.40802930791472186,0.8926948865772653,0.8689059303563779
synthetic_cheap_signal,51966,11,"[0, 1, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 11, 12, 13]",3,11,90.0,False,6.427823032140959e-09,0.4356634854114695,0.8768463651947931,0.8416426263902532,enumerated_refit,0.0,0.4356634854114695,"[0, 1]",0.4075959416761665,0.8931962025316456,0.86952037086581
synthetic_cheap_signal,51966,3,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",2,8,30.0,True,9.305069895349958e-10,0.43787869640687227,0.8758913824549318,0.8395868856945394,group_lasso_path_refit,0.00025,0.4453786964068723,"[0, 1]",0.40802930791472186,0.8926948865772653,0.8689059303563779
synthetic_cheap_signal,51966,3,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",2,8,30.0,True,9.305069895349958e-10,0.43787869640687227,0.8758913824549318,0.8395868856945394,enumerated_refit,0.00025,0.4453786964068723,"[0, 1]",0.40802930791472186,0.8926948865772653,0.8689059303563779
synthetic_cheap_signal,51966,3,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",2,8,30.0,True,9.305069895349958e-10,0.43787869640687227,0.8758913824549318,0.8395868856945394,group_lasso_path_refit,0.0005,0.4528786964068723,"[0, 1]",0.40802930791472186,0.8926948865772653,0.8689059303563779
synthetic_cheap_signal,51966,3,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",2,8,30.0,True,9.305069895349958e-10,0.43787869640687227,0.8758913824549318,0.8395868856945394,enumerated_refit,0.0005,0.4528786964068723,"[0, 1]",0.40802930791472186,0.8926948865772653,0.8689059303563779
synthetic_cheap_signal,51966,3,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",2,8,30.0,True,9.305069895349958e-10,0.43787869640687227,0.8758913824549318,0.8395868856945394,group_lasso_path_refit,0.001,0.4678786964068723,"[0, 1]",0.40802930791472186,0.8926948865772653,0.8689059303563779
synthetic_cheap_signal,51966,3,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",2,8,30.0,True,9.305069895349958e-10,0.43787869640687227,0.8758913824549318,0.8395868856945394,enumerated_refit,0.001,0.4678786964068723,"[0, 1]",0.40802930791472186,0.8926948865772653,0.8689059303563779
synthetic_cheap_signal,51966,3,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",2,8,30.0,True,9.305069895349958e-10,0.43787869640687227,0.8758913824549318,0.8395868856945394,group_lasso_path_refit,0.002,0.49787869640687227,"[0, 1]",0.40802930791472186,0.8926948865772653,0.8689059303563779
synthetic_cheap_signal,51966,3,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",2,8,30.0,True,9.305069895349958e-10,0.43787869640687227,0.8758913824549318,0.8395868856945394,enumerated_refit,0.002,0.49787869640687227,"[0, 1]",0.40802930791472186,0.8926948865772653,0.8689059303563779
