task,seed,candidate_id,family,lambda,selected_groups,selected_features,cost,n_groups,n_features,train_objective,stationarity,converged,iterations,warmup_iterations,val_bce,val_auroc,val_ap,gt_groups,gt_cost,information_sufficient,exact_gt,missing_groups,extra_groups,n_missing,n_extra,actual_cost,unnecessary_spend,excess_cost_if_sufficient
nonlinear_interaction,51967,mlp_cost_weighted_2,mlp_cost_weighted,0.003,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.2917890550128931,0.0010281356503094473,False,1500,1500,0.8653663080191656,0.7606208441118769,0.7534004350855633,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
nonlinear_interaction,51967,mlp_cost_weighted_3,mlp_cost_weighted,0.01,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.3909153854508486,0.0038758416576887282,False,1500,1500,0.5946576047281708,0.8211600895848887,0.8162535587007362,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
nonlinear_interaction,51967,mlp_cost_weighted_4,mlp_cost_weighted,0.03,"[0, 1, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",125.0,4,14,0.46681508622296297,0.002647564700176694,False,1500,1500,0.4470833678503248,0.8691296723901457,0.8746527981577887,"[0, 1]",30.0,True,False,[],"[2, 3]",0,2,125.0,95.0,95.0
nonlinear_interaction,51967,mlp_cost_weighted_5,mlp_cost_weighted,0.1,"[0, 1, 2]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",65.0,3,11,0.575346757094794,0.004948922191690459,False,1500,1500,0.44578391464448663,0.8753624194864496,0.8877361861316191,"[0, 1]",30.0,True,False,[],[2],0,1,65.0,35.0,35.0
nonlinear_interaction,51967,logistic_all,logistic_all,0,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,,,,,0,0.698161934900383,0.5001302105939339,0.4991915866800929,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
nonlinear_interaction,51967,logistic_free,logistic_free,0,[],"[0, 1]",0.0,0,2,,,,,0,0.6918414403280778,0.5275265195576312,0.5297754361494794,"[0, 1]",30.0,False,False,"[0, 1]",[],2,0,0.0,0.0,
nonlinear_interaction,51967,logistic_cost_weighted_0,logistic_cost_weighted,0.0,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,,,,,0,0.6981619349003829,0.5001302105939339,0.4991915866800929,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
nonlinear_interaction,51967,logistic_cost_weighted_1,logistic_cost_weighted,0.001,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",215.0,5,17,,,,,0,0.697007345084187,0.50245663987222,0.5018814946417074,"[0, 1]",30.0,True,False,[],"[2, 3, 4]",0,3,215.0,185.0,185.0
nonlinear_interaction,51967,logistic_cost_weighted_2,logistic_cost_weighted,0.003,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",215.0,5,17,,,,,0,0.69576497295029,0.5037587458115592,0.5035899239725721,"[0, 1]",30.0,True,False,[],"[2, 3, 4]",0,3,215.0,185.0,185.0
nonlinear_interaction,51967,logistic_cost_weighted_3,logistic_cost_weighted,0.01,"[0, 2, 3]","[0, 1, 2, 3, 4, 8, 9, 10, 11, 12, 13]",105.0,3,11,,,,,0,0.693600857167885,0.5218666990746368,0.5077441020101632,"[0, 1]",30.0,False,False,[1],"[2, 3]",1,2,105.0,95.0,
nonlinear_interaction,51967,logistic_cost_weighted_4,logistic_cost_weighted,0.03,[0],"[0, 1, 2, 3, 4]",10.0,1,5,,,,,0,0.6919525849740982,0.5252348131043942,0.5228076489075744,"[0, 1]",30.0,False,False,[1],[],1,0,10.0,0.0,
nonlinear_interaction,51967,logistic_cost_weighted_5,logistic_cost_weighted,0.1,[],"[0, 1]",0.0,0,2,,,,,0,0.691841441123989,0.5275265195576312,0.5297754361494794,"[0, 1]",30.0,False,False,"[0, 1]",[],2,0,0.0,0.0,
linear_control,51968,mlp_all,mlp_all,0,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.16923605624272245,0.0014716034749998853,False,1500,0,0.9954167323188238,0.7843443819053575,0.8021932292997467,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
linear_control,51968,mlp_free,mlp_free,0,[],"[0, 1]",0.0,0,2,0.6920149738544399,9.959465414516364e-05,True,1094,0,0.6940238867156141,0.5044645959280106,0.5180948636039087,"[0, 1]",30.0,False,False,"[0, 1]",[],2,0,0.0,0.0,
linear_control,51968,mlp_uniform_1,mlp_uniform,0.001,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.203716898381753,0.002037553289636497,False,1500,1500,1.0239098028582032,0.7732784379125843,0.7878583441629923,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
linear_control,51968,mlp_uniform_2,mlp_uniform,0.003,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.2649246323603866,0.0005656051839975956,False,1500,1500,0.9799830757840091,0.7704294350635814,0.7868727195462628,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
linear_control,51968,mlp_uniform_3,mlp_uniform,0.01,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.4226065653217618,0.0026820789087880605,False,1500,1500,0.6733867895606215,0.8064936418594956,0.8148275290739289,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
linear_control,51968,mlp_uniform_4,mlp_uniform,0.03,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.5009012008479116,0.006765800387063158,False,1500,1500,0.42123213311629176,0.8925022583559169,0.8889860371853956,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
linear_control,51968,mlp_uniform_5,mlp_uniform,0.1,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,0.5371407010591809,0.00498499818135967,False,1500,1500,0.42975942853367766,0.8944826627753457,0.8906514816478833,"[0, 1]",30.0,True,True,[],[],0,0,30.0,0.0,0.0
linear_control,51968,mlp_cost_weighted_1,mlp_cost_weighted,0.001,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.21274751899388067,0.0019288235688895178,False,1500,1500,1.0198067894390062,0.7680147314293656,0.7806501183874808,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
linear_control,51968,mlp_cost_weighted_2,mlp_cost_weighted,0.003,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.28252908818604744,0.001686903315777162,False,1500,1500,0.8955636366692443,0.7769786672225697,0.7837634784286057,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
linear_control,51968,mlp_cost_weighted_3,mlp_cost_weighted,0.01,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.39657637762369313,0.0035327158723927163,False,1500,1500,0.6024700433511874,0.8278611632270167,0.8336038000323929,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
linear_control,51968,mlp_cost_weighted_4,mlp_cost_weighted,0.03,"[0, 1, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",125.0,4,14,0.4701264589477298,0.004929274951167517,False,1500,1500,0.4452506975993543,0.8759467722882358,0.8724162348371372,"[0, 1]",30.0,True,False,[],"[2, 3]",0,2,125.0,95.0,95.0
linear_control,51968,mlp_cost_weighted_5,mlp_cost_weighted,0.1,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,0.48903951426648523,0.0024717067359373754,False,1500,1500,0.4217329885154913,0.8933882287540824,0.8896119121289064,"[0, 1]",30.0,True,True,[],[],0,0,30.0,0.0,0.0
linear_control,51968,logistic_all,logistic_all,0,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,,,,,0,0.4204045765141947,0.8923632826071851,0.8881694869756626,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
linear_control,51968,logistic_free,logistic_free,0,[],"[0, 1]",0.0,0,2,,,,,0,0.6937663200908901,0.4888993120700438,0.5184353312367312,"[0, 1]",30.0,False,False,"[0, 1]",[],2,0,0.0,0.0,
linear_control,51968,logistic_cost_weighted_0,logistic_cost_weighted,0.0,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,,,,,0,0.42040458298235783,0.8923632826071851,0.8881694869756626,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
linear_control,51968,logistic_cost_weighted_1,logistic_cost_weighted,0.001,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,,,,,0,0.4198588497963167,0.892867069696338,0.8885997879756425,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
linear_control,51968,logistic_cost_weighted_2,logistic_cost_weighted,0.003,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,,,,,0,0.419534660898409,0.8936140643457716,0.8889089964545919,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
linear_control,51968,logistic_cost_weighted_3,logistic_cost_weighted,0.01,"[0, 1, 2]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",65.0,3,11,,,,,0,0.4195710835437571,0.8947779862414009,0.8896808449165181,"[0, 1]",30.0,True,False,[],[2],0,1,65.0,35.0,35.0
linear_control,51968,logistic_cost_weighted_4,logistic_cost_weighted,0.03,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,,,,,0,0.42550487043716406,0.8953860051421028,0.8910397415417499,"[0, 1]",30.0,True,True,[],[],0,0,30.0,0.0,0.0
linear_control,51968,logistic_cost_weighted_5,logistic_cost_weighted,0.1,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,,,,,0,0.45860432788956224,0.892363282607185,0.8905636662097474,"[0, 1]",30.0,True,True,[],[],0,0,30.0,0.0,0.0
nonlinear_interaction,51968,mlp_all,mlp_all,0,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.21630657339988793,0.0014874269296996918,False,1500,0,1.0538599477630635,0.722654350996597,0.7288638267272521,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
nonlinear_interaction,51968,mlp_free,mlp_free,0,[],"[0, 1]",0.0,0,2,0.6895458643583353,0.00025920404656737986,False,1500,0,0.7069645584252071,0.4394749635391347,0.4665433414865983,"[0, 1]",30.0,False,False,"[0, 1]",[],2,0,0.0,0.0,
nonlinear_interaction,51968,mlp_uniform_1,mlp_uniform,0.001,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.249225665974952,0.0020103327264259716,False,1500,1500,0.9537756656367636,0.7344086394888534,0.7451100276682049,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
nonlinear_interaction,51968,mlp_uniform_2,mlp_uniform,0.003,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.305279988442014,0.0019266878762088148,False,1500,1500,0.7835582821575419,0.7711473018959649,0.7942475634976455,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
nonlinear_interaction,51968,mlp_uniform_3,mlp_uniform,0.01,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.44854191800006327,0.004586800452212233,False,1500,1500,0.5820993920711395,0.8114105146190708,0.8284761104628553,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
nonlinear_interaction,51968,mlp_uniform_4,mlp_uniform,0.03,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.5854099739063924,0.0061020842887653335,False,1500,1500,0.4652700368301035,0.8517952635599694,0.8662961399126295,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
nonlinear_interaction,51968,mlp_uniform_5,mlp_uniform,0.1,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,0.7635515713692911,0.00545753022411332,False,1500,1500,0.5462056969121047,0.8360476421973748,0.8487623620790137,"[0, 1]",30.0,True,True,[],[],0,0,30.0,0.0,0.0
nonlinear_interaction,51968,mlp_cost_weighted_1,mlp_cost_weighted,0.001,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.25570492029841585,0.0015446755888973607,False,1500,1500,0.992994249062506,0.7281408431141052,0.7413857759481255,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
nonlinear_interaction,51968,mlp_cost_weighted_2,mlp_cost_weighted,0.003,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.31108716274529635,0.003849433944596582,False,1500,1500,0.8427478798700868,0.7586637960969513,0.7740108826781451,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
nonlinear_interaction,51968,mlp_cost_weighted_3,mlp_cost_weighted,0.01,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.4014878425998864,0.005764571182845382,False,1500,1500,0.6466975183221336,0.800732689770123,0.8068365889412861,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
nonlinear_interaction,51968,mlp_cost_weighted_4,mlp_cost_weighted,0.03,"[0, 1, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",125.0,4,14,0.4756236570900168,0.0030050845468716576,False,1500,1500,0.5159531182281542,0.8283387735259392,0.8383887226796354,"[0, 1]",30.0,True,False,[],"[2, 3]",0,2,125.0,95.0,95.0
nonlinear_interaction,51968,mlp_cost_weighted_5,mlp_cost_weighted,0.1,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,0.5805966650975449,0.004034948782001659,False,1500,1500,0.470682708821602,0.84894784360025,0.8627098344082079,"[0, 1]",30.0,True,True,[],[],0,0,30.0,0.0,0.0
nonlinear_interaction,51968,logistic_all,logistic_all,0,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,,,,,0,0.6984900949933313,0.5101916799777763,0.49191726691770304,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
nonlinear_interaction,51968,logistic_free,logistic_free,0,[],"[0, 1]",0.0,0,2,,,,,0,0.6938642498037915,0.5041669560386137,0.49434780544045054,"[0, 1]",30.0,False,False,"[0, 1]",[],2,0,0.0,0.0,
nonlinear_interaction,51968,logistic_cost_weighted_0,logistic_cost_weighted,0.0,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,,,,,0,0.6984900949933313,0.5101916799777763,0.49191726691770304,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
nonlinear_interaction,51968,logistic_cost_weighted_1,logistic_cost_weighted,0.001,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,,,,,0,0.6974976733407409,0.5105736509479825,0.49312802044363213,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
nonlinear_interaction,51968,logistic_cost_weighted_2,logistic_cost_weighted,0.003,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,,,,,0,0.696091482779832,0.5114244044725328,0.49231529728064716,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
nonlinear_interaction,51968,logistic_cost_weighted_3,logistic_cost_weighted,0.01,"[0, 1, 2]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",65.0,3,11,,,,,0,0.695316189470157,0.5016667824154456,0.48615299460556627,"[0, 1]",30.0,True,False,[],[2],0,1,65.0,35.0,35.0
nonlinear_interaction,51968,logistic_cost_weighted_4,logistic_cost_weighted,0.03,[0],"[0, 1, 2, 3, 4]",10.0,1,5,,,,,0,0.6939791025755465,0.5031425793457879,0.49304976425635877,"[0, 1]",30.0,False,False,[1],[],1,0,10.0,0.0,
nonlinear_interaction,51968,logistic_cost_weighted_5,logistic_cost_weighted,0.1,[],"[0, 1]",0.0,0,2,,,,,0,0.6938642533449472,0.5041669560386137,0.49434780544045054,"[0, 1]",30.0,False,False,"[0, 1]",[],2,0,0.0,0.0,
