task,seed,candidate_id,family,lambda,selected_groups,selected_features,cost,n_groups,n_features,train_objective,stationarity,converged,iterations,warmup_iterations,val_bce,val_auroc,val_ap,gt_groups,gt_cost,information_sufficient,exact_gt,missing_groups,extra_groups,n_missing,n_extra,actual_cost,unnecessary_spend,excess_cost_if_sufficient
linear_control,51966,logistic_cost_weighted_1,logistic_cost_weighted,0.001,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,,,,,0,0.44505005293697586,0.8720807070549218,0.8570176018619945,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
linear_control,51966,logistic_cost_weighted_2,logistic_cost_weighted,0.003,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",215.0,5,17,,,,,0,0.4427986364531209,0.8741990936083763,0.8578099820039214,"[0, 1]",30.0,True,False,[],"[2, 3, 4]",0,3,215.0,185.0,185.0
linear_control,51966,logistic_cost_weighted_3,logistic_cost_weighted,0.01,"[0, 1, 2]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",65.0,3,11,,,,,0,0.4432292464544367,0.8754492889513986,0.8587210980032037,"[0, 1]",30.0,True,False,[],[2],0,1,65.0,35.0,35.0
linear_control,51966,logistic_cost_weighted_4,logistic_cost_weighted,0.03,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,,,,,0,0.4487924532798109,0.8756923824903197,0.8587152169652277,"[0, 1]",30.0,True,True,[],[],0,0,30.0,0.0,0.0
linear_control,51966,logistic_cost_weighted_5,logistic_cost_weighted,0.1,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,,,,,0,0.4798349494701186,0.870795784063482,0.8510841912510048,"[0, 1]",30.0,True,True,[],[],0,0,30.0,0.0,0.0
nonlinear_interaction,51966,mlp_all,mlp_all,0,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.20660449777018242,0.0022266209079268616,False,1500,0,1.1024998429305983,0.7126356925749022,0.7190482758724148,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
nonlinear_interaction,51966,mlp_free,mlp_free,0,[],"[0, 1]",0.0,0,2,0.6897485761908035,0.0001610287338404071,False,1500,0,0.7015696320281517,0.4812679114198871,0.4953529056296503,"[0, 1]",30.0,False,False,"[0, 1]",[],2,0,0.0,0.0,
nonlinear_interaction,51966,mlp_uniform_1,mlp_uniform,0.001,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.24016242537352858,0.0009360796086437873,False,1500,1500,1.0426835066031628,0.7227268779852365,0.733903849456999,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
nonlinear_interaction,51966,mlp_uniform_2,mlp_uniform,0.003,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.30549555699294206,0.0007282543612241896,False,1500,1500,0.9134488550152038,0.7409118541033435,0.7477282508520995,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
nonlinear_interaction,51966,mlp_uniform_3,mlp_uniform,0.01,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.4646353712005281,0.002938129167972583,False,1500,1500,0.6635673607395433,0.7817802865827181,0.79548630453118,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
